"X","Q.test","Median.Test","KW.Test","F.test","eps"
1,0.056,0.053,0.049,0.049,0
2,0.054,0.056,0.052,0.02,0.02
3,0.055,0.062,0.067,0.984,0.04
4,0.067,0.072,0.093,1,0.06
5,0.081,0.09,0.142,1,0.08
6,0.099,0.106,0.205,1,0.1
7,0.126,0.133,0.287,1,0.12
8,0.158,0.172,0.384,1,0.14
9,0.213,0.212,0.504,1,0.16
10,0.264,0.264,0.619,1,0.18
11,0.328,0.325,0.73,1,0.2
12,0.405,0.392,0.829,1,0.22
13,0.492,0.479,0.908,1,0.24
14,0.57,0.558,0.954,1,0.26
15,0.665,0.636,0.979,1,0.28
16,0.755,0.715,0.991,1,0.3
17,0.826,0.784,0.997,1,0.32
18,0.888,0.853,0.999,1,0.34
19,0.937,0.904,1,1,0.36
20,0.968,0.946,1,1,0.38
21,0.987,0.971,1,1,0.4
